"Accession","cluster_limited"
"SRR8567046","1"
"SRR8566716","1"
"SRR8566828","2"
"SRR8567014","1"
"SRR8566541","3"
"SRR8566804","3"
"SRR8566805","1"
"SRR8566809","1"
"SRR8566942","1"
"SRR8566946","4"
"SRR8567134","Other"
"SRR8566654","1"
"SRR8566882","Other"
"SRR8567048","7"
"SRR8567054","3"
"SRR8567052","1"
"SRR8567059","1"
"SRR8567173","1"
"SRR8566571","1"
"SRR8566525","3"
"SRR8566839","2"
"SRR8566702","Other"
"SRR8567091","1"
"SRR8567143","1"
"SRR8566699","1"
"SRR8566693","1"
"SRR8566695","Other"
"SRR8567207","7"
"SRR8567210","1"
"SRR8559881","1"
"SRR8559880","Other"
"SRR8559887","11"
"SRR8559886","Other"
"SRR8559740","Other"
"SRR8559739","14"
"SRR8559742","15"
"SRR8559741","16"
"SRR8559744","Other"
"SRR8559743","14"
"SRR8559746","14"
"SRR8559745","Other"
"SRR8559748","Other"
"SRR8559944","11"
"SRR8559945","Other"
"SRR8559946","Other"
"SRR8559947","11"
"SRR8559940","1"
"SRR8559941","14"
"SRR8559942","21"
"SRR8559943","22"
"SRR8559948","Other"
"SRR8559949","23"
"SRR8559400","Other"
"SRR8559399","15"
"SRR8559398","15"
"SRR8559397","Other"
"SRR8559404","1"
"SRR8559403","26"
"SRR8559402","14"
"SRR8559401","4"
"SRR8559392","27"
"SRR8559391","1"
"SRR8559210","Other"
"SRR8559211","14"
"SRR8559208","Other"
"SRR8559209","15"
"SRR8559700","Other"
"SRR8559879","1"
"SRR8559878","Other"
"SRR8559885","4"
"SRR8559884","14"
"SRR8559883","Other"
"SRR8559882","14"
"SRR8559747","33"
"SRR8559207","1"
"SRR8559204","11"
"SRR8559205","34"
"SRR8559202","35"
"SRR8559203","Other"
"SRR8559628","26"
"SRR8559627","Other"
"SRR8559630","21"
"SRR8559629","26"
"SRR8559624","38"
"SRR8559623","15"
"SRR8559626","34"
"SRR8559625","33"
"SRR8559622","11"
"SRR8559621","23"
"SRR8559474","38"
"SRR8559475","Other"
"SRR8559476","33"
"SRR8559477","Other"
"SRR8559478","14"
"SRR8559479","11"
"SRR8559277","15"
"SRR8559280","15"
"SRR8559281","Other"
"SRR8559282","Other"
"SRR8559290","15"
"SRR8559289","1"
"SRR8559288","33"
"SRR8559287","Other"
"SRR8559286","Other"
"SRR8559285","15"
"SRR8559284","16"
"SRR8559283","1"
"SRR8559292","44"
"SRR8559291","Other"
"SRR8559715","14"
"SRR8559716","15"
"SRR8559713","23"
"SRR8559714","Other"
"SRR8559719","23"
"SRR8559720","Other"
"SRR8559717","26"
"SRR8559718","15"
"SRR8559711","Other"
"SRR8559712","34"
"SRR8559922","Other"
"SRR8559921","Other"
"SRR8559923","38"
"SRR8559926","16"
"SRR8559925","14"
"SRR8559928","38"
"SRR8559927","15"
"SRR8559920","14"
"SRR8559919","26"
"SRR8559682","50"
"SRR8559683","23"
"SRR8559684","Other"
"SRR8559685","14"
"SRR8559686","Other"
"SRR8559687","23"
"SRR8559688","14"
"SRR8559689","Other"
"SRR8559490","16"
"SRR8559491","Other"
"SRR8559255","26"
"SRR8559254","23"
"SRR8559253","33"
"SRR8559252","Other"
"SRR8559251","Other"
"SRR8559250","15"
"SRR8559249","14"
"SRR8559248","Other"
"SRR8559258","1"
"SRR8559257","23"
"SRR8559449","58"
"SRR8559924","Other"
"SRR8559450","15"
"SRR8559447","15"
"SRR8559448","38"
"SRR8559453","23"
"SRR8559454","26"
"SRR8559451","33"
"SRR8559452","1"
"SRR8559455","14"
"SRR8559456","16"
"SRR8559535","Other"
"SRR8559534","15"
"SRR8559537","Other"
"SRR8559536","Other"
"SRR8559539","Other"
"SRR8559538","33"
"SRR8559541","15"
"SRR8559540","23"
"SRR8559543","14"
"SRR8559542","1"
"SRR8559583","15"
"SRR8559584","33"
"SRR8559585","Other"
"SRR8559586","Other"
"SRR8559579","Other"
"SRR8559580","67"
"SRR8559581","14"
"SRR8559582","23"
"SRR8559587","Other"
"SRR8559588","15"
"SRR8559835","3"
"SRR8559834","15"
"SRR8559833","33"
"SRR8559832","67"
"SRR8559839","Other"
"SRR8559838","14"
"SRR8559301","Other"
"SRR8559295","23"
"SRR8559836","23"
"SRR8559169","23"
"SRR8559294","Other"
"SRR8559302","26"
"SRR8559297","1"
"SRR8559721","1"
"SRR8559724","1"
"SRR8559727","1"
"SRR8559723","26"
"SRR8559293","1"
"SRR8559725","35"
"SRR8559840","Other"
"SRR8559729","Other"
"SRR8559298","Other"
"SRR8559659","15"
"SRR8559726","14"
"SRR8559658","14"
"SRR8559324","Other"
"SRR8559299","38"
"SRR8559300","27"
"SRR8559728","15"
"SRR8559837","1"
"SRR8559722","Other"
"SRR8559296","77"
"SRR8559326","38"
"SRR8559367","16"
"SRR8559368","38"
"SRR8559365","Other"
"SRR8559366","1"
"SRR8559363","27"
"SRR8559364","23"
"SRR8559314","23"
"SRR8559316","11"
"SRR8559903","Other"
"SRR8559902","67"
"SRR8559905","Other"
"SRR8559904","14"
"SRR8559899","16"
"SRR8559898","14"
"SRR8559751","15"
"SRR8559749","Other"
"SRR8559737","15"
"SRR8559664","4"
"SRR8559929","Other"
"SRR8559930","15"
"SRR8559931","1"
"SRR8559932","Other"
"SRR8559933","67"
"SRR8559934","Other"
"SRR8559935","16"
"SRR8559936","23"
"SRR8559938","Other"
"SRR8559736","Other"
"SRR8559735","23"
"SRR8559734","Other"
"SRR8559733","1"
