common_name	species	superkingdom	phylum	class	order	family
NA	Treponema pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae
NA	Treponema paraluiscuniculi	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae
NA	Trichinella spiralis	Eukaryota	Nematoda	Enoplea	Trichinellida	Trichinellidae
pharaoh ant	Monomorium pharaonis	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae
zebrafish	Danio rerio	Eukaryota	Chordata	Actinopteri	Cypriniformes	Danionidae
NA	Notocelia uddmanniana	Eukaryota	Arthropoda	Insecta	Lepidoptera	Tortricidae
NA	Medioppia subpectinata	Eukaryota	Arthropoda	Arachnida	Sarcoptiformes	Oppiidae
NA	Chrysoteuchia culmella	Eukaryota	Arthropoda	Insecta	Lepidoptera	Crambidae
NA	Brassicogethes aeneus	Eukaryota	Arthropoda	Insecta	Coleoptera	Nitidulidae
chum salmon	Oncorhynchus keta	Eukaryota	Chordata	Actinopteri	Salmoniformes	Salmonidae
NA	Vespa velutina	Eukaryota	Arthropoda	Insecta	Hymenoptera	Vespidae
European hornet	Vespa crabro	Eukaryota	Arthropoda	Insecta	Hymenoptera	Vespidae
chicken	Gallus gallus	Eukaryota	Chordata	Aves	Galliformes	Phasianidae
turbot	Scophthalmus maximus	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Scophthalmidae
NA	Gari tellinella	Eukaryota	Mollusca	Bivalvia	Cardiida	Psammobiidae
NA	Quercus robur	Eukaryota	Streptophyta	Magnoliopsida	Fagales	Fagaceae
rock gunnel	Pholis gunnellus	Eukaryota	Chordata	Actinopteri	Perciformes	Pholidae
NA	Brachylomia viminalis	Eukaryota	Arthropoda	Insecta	Lepidoptera	Noctuidae
NA	Marasmarcha lunaedactyla	Eukaryota	Arthropoda	Insecta	Lepidoptera	Pterophoridae
winter moth	Operophtera brumata	Eukaryota	Arthropoda	Insecta	Lepidoptera	Geometridae
NA	Macrobrachium nipponense	Eukaryota	Arthropoda	Malacostraca	Decapoda	Palaemonidae
small tortoiseshell	Nymphalis urticae	Eukaryota	Arthropoda	Insecta	Lepidoptera	Nymphalidae
house mouse	Mus musculus	Eukaryota	Chordata	Mammalia	Rodentia	Muridae
platypus	Ornithorhynchus anatinus	Eukaryota	Chordata	Mammalia	Monotremata	Ornithorhynchidae
NA	Ocypus olens	Eukaryota	Arthropoda	Insecta	Coleoptera	Staphylinidae
mallard	Anas platyrhynchos	Eukaryota	Chordata	Aves	Anseriformes	Anatidae
Atlantic cod	Gadus morhua	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae
NA	Ipomoea trifida	Eukaryota	Streptophyta	Magnoliopsida	Solanales	Convolvulaceae
