"","Taxa","Sub.lineage","Major.Sub.lineage","Sub.lineage.sing","TPA.pinecone.sublineage","Sample_Name"
"1","15169_6#65.Treponema.ds2500000-reads","singleton_1","2","singleton_1","Singleton","Mexico_A-mcf"
"2","27455_4#10.Treponema.ds2500000-reads","singleton_2","2","singleton_2","Singleton","PHE140073A"
"3","31963_2#11.Treponema.ds2500000-reads","singleton_3","2","singleton_3","Singleton","TPA_USL-BAL-2"
"4","22931_6#11.Treponema.ds2500000-reads","15","2","15","1","NL16"
"5","27455_2#29.Treponema.ds2500000-reads","15","2","15","1","PHE160315A"
"6","SRR3268732.Treponema.ds301291-reads","15","2","15","1","SW6"
"7","27455_4#12.Treponema.ds2500000-reads","15","2","15","1","PHE150131A"
"8","27455_5#23.Treponema.ds2500000-reads","15","2","15","1","PHE160260A"
"9","27455_7#10.Treponema.ds2276873-reads","15","2","15","1","PHE150123A"
"10","27455_5#31.Treponema.ds2500000-reads","15","2","15","1","PHE160311A"
"11","27455_2#36.Treponema.ds2500000-reads","15","2","15","1","PHE170408A"
"12","27455_3#42.Treponema.ds2500000-reads","15","2","15","1","PHE170402A"
"13","27455_4#37.Treponema.ds2500000-reads","15","2","15","1","PHE170398A"
"14","24141_5#15.Treponema.ds2500000-reads","15","2","15","1","UW473B"
"15","27455_3#38.Treponema.ds2500000-reads","15","2","15","1","PHE170380A"
"16","27455_4#34.Treponema.ds2500000-reads","15","2","15","1","PHE170365A"
"17","24141_7#15.Treponema.ds2500000-reads","15","2","15","1","UW492B"
"18","24141_6#18.Treponema.ds2500000-reads","15","2","15","1","UW148B"
"19","31818_6#25.Treponema.ds2134448-reads","15","2","15","1","TPA_BCC183"
"20","24141_5#5.Treponema.ds2500000-reads","15","2","15","1","UW248B"
"21","27455_1#11.Treponema.ds2500000-reads","15","2","15","1","PHE160249A"
"22","27455_4#26.Treponema.ds2500000-reads","15","2","15","1","PHE160254A"
"23","29007_3#8.Treponema.ds2500000-reads","15","2","15","1","PHE170379A"
"24","SRR3571785.Treponema.ds1709469-reads","15","2","15","1","PT_SIF1020"
"25","SRR3571786.Treponema.ds277675-reads","15","2","15","1","PT_SIF1063"
"26","SRR3584842.Treponema.ds1181556-reads","15","2","15","1","PT_SIF1183"
"27","22931_6#5.Treponema.ds2500000-reads","16","2","16","1","NL10"
"28","27455_2#17.Treponema.ds2500000-reads","16","2","16","1","PHE160240A"
"29","27455_3#5.Treponema.ds2500000-reads","16","2","16","1","PHE130045A"
"30","27455_2#1.Treponema.ds2500000-reads","16","2","16","1","PHE120011A"
"31","27455_3#2.Treponema.ds2500000-reads","16","2","16","1","PHE120021A"
"32","27455_3#8.Treponema.ds2500000-reads","16","2","16","1","PHE140095A"
"33","27455_3#26.Treponema.ds2195280-reads","16","2","16","1","PHE160301A"
"34","27455_7#30.Treponema.ds2158791-reads","16","2","16","1","PHE170362A"
"35","27455_7#3.Treponema.ds2500000-reads","16","2","16","1","PHE120032A"
"36","27455_3#35.Treponema.ds2500000-reads","16","2","16","1","PHE170356A"
"37","27455_4#14.Treponema.ds2500000-reads","16","2","16","1","PHE150138A"
"38","27455_2#31.Treponema.ds2500000-reads","16","2","16","1","PHE170346A"
"39","27455_2#34.Treponema.ds2500000-reads","16","2","16","1","PHE170387A"
