Sample	Region	StartPos	EndPos	Length	Missing_Sites	Median_Cov	Mean_Cov	Min_Cov	Max_Cov	Genome_Norm_Cov	cov1x.perc	cov5x.perc	cov8x.perc	cov20x.perc	cov100x.perc	cov250x.perc	bam.mapped.filt.readcount
TP_Discriminatory_SA1_20230426_barcode01.filt	all_27	6272	6850	579	0	95	94.1	56	98	inf	100	100	100	100	0	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_52	6906	7491	586	0	80	78.7	47	82	inf	100	100	100	100	0	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_58	19650	20165	516	0	151	149.9	94	156	inf	100	100	100	100	99.8	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_62	20302	20891	590	0	68	68	24	73	inf	100	100	100	100	0	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_70	27662	28203	542	0	115	113.4	57	118	inf	100	100	100	100	96.7	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_17	47737	48285	549	0	74	73.4	44	76	inf	100	100	100	100	0	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_25	60976	61550	575	0	95	93.5	51	98	inf	100	100	100	100	0	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_55	101570	102136	567	0	152	150.5	105	156	inf	100	100	100	100	100	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_56	106712	107309	598	0	104	102.2	68	107	inf	100	100	100	100	81.6	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_57	146443	147045	603	0	55	54.5	23	57	inf	100	100	100	100	0	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_59	189605	190126	522	0	85	83.9	51	87	inf	100	100	100	100	0	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_60	214607	215180	574	0	77	75.6	40	78	inf	100	100	100	100	0	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_61	230092	230674	583	0	124	122.4	69	127	inf	100	100	100	100	98.8	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_63	244634	245242	609	0	108	106.7	70	110	inf	100	100	100	100	95.4	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_64	253222	253807	586	0	108	106.2	32	111	inf	100	100	100	100	93.9	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_65	254023	254580	558	0	127.5	126.5	45	132	inf	100	100	100	100	99.8	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_66	264813	265404	592	0	174	172.1	98	178	inf	100	100	100	100	99.8	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_67	270955	271505	551	0	7	7.4	3	8	inf	100	99.6	45.9	0	0	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_68	311821	312449	629	0	119	116.9	46	123	inf	100	100	100	100	97.8	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_69	321507	322061	555	0	147	144.2	79	151	inf	100	100	100	100	99.1	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_71	367685	368238	554	0	51	50.8	33	53	inf	100	100	100	100	0	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_72	372296	372861	566	0	211	207.7	97	217	inf	100	100	100	100	99.8	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_72	372296	372861	566	0	211	207.7	97	217	inf	100	100	100	100	99.8	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_73	375373	375947	575	0	147	145.5	78	153	inf	100	100	100	100	99.7	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_5	415556	416117	562	0	95	93.8	67	97	inf	100	100	100	100	0	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_6	453934	454454	521	0	200	197.8	103	205	inf	100	100	100	100	100	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_7	460040	460586	547	0	221	218.3	117	227	inf	100	100	100	100	100	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_8	489164	489713	550	0	141	138.8	67	144	inf	100	100	100	100	99.1	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_9	500506	501028	523	0	177	174.4	59	182	inf	100	100	100	100	99.8	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_10	507770	508318	549	0	190	188	73	196	inf	100	100	100	100	99.6	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_11	513029	513561	533	0	207	205.2	139	215	inf	100	100	100	100	100	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_12	528510	529114	605	0	133	132	79	138	inf	100	100	100	100	99.5	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_13	547326	547880	555	0	228	225	118	234	inf	100	100	100	100	100	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_14	574423	574940	518	0	179	175.9	82	185	inf	100	100	100	100	99.2	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_15	582766	583313	548	0	199	196.7	104	204	inf	100	100	100	100	100	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_16	591759	592367	609	0	174	172	99	179	inf	100	100	100	100	99.8	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_18	619683	620216	534	0	175	172.1	71	179	inf	100	100	100	100	99.8	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_19	623085	623665	581	0	159	157.1	98	163	inf	100	100	100	100	99.7	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_20	648944	649488	545	0	72	71.2	34	74	inf	100	100	100	100	0	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_21	656560	657094	535	0	150	147.9	93	154	inf	100	100	100	100	99.6	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_22	669846	670421	576	0	126	124.1	35	129	inf	100	100	100	100	98.4	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_23	670741	671254	514	0	143	141.4	55	147	inf	100	100	100	100	99	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_24	708212	708839	628	0	141	140.4	63	148	inf	100	100	100	100	99.7	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_26	772599	773181	583	0	92	90.9	30	94	inf	100	100	100	100	0	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_3	779846	780414	569	0	100	98.7	61	104	inf	100	100	100	100	54	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_28	858336	858868	533	0	128	126.5	63	132	inf	100	100	100	100	99.4	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_29	873851	874386	536	0	180	178.3	73	183	inf	100	100	100	100	99.8	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_30	884017	884575	559	0	143	141.2	76	147	inf	100	100	100	100	99.6	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_4	887018	887607	590	0	93	91.8	45	96	inf	100	100	100	100	0	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_31	890076	890674	599	0	123	121.6	61	127	inf	100	100	100	100	98.2	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_32	915022	915599	578	0	198	195.8	71	202	inf	100	100	100	100	99.8	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_33	915797	916385	589	0	76	74.9	40	79	inf	100	100	100	100	0	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_34	916316	916927	612	7	2	10.8	0	78	inf	98.9	15.2	15.2	15.2	0	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_33	915797	916385	589	0	76	74.9	40	79	inf	100	100	100	100	0	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_34	916316	916927	612	7	2	10.8	0	78	inf	98.9	15.2	15.2	15.2	0	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_35	955414	955953	540	0	186	183.7	112	192	inf	100	100	100	100	100	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_36	971030	971541	512	0	35	34.7	21	37	inf	100	100	100	100	0	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_37	978193	978721	529	0	150	147.7	79	155	inf	100	100	100	100	99.6	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_38	997551	998082	532	0	82	81.1	56	85	inf	100	100	100	100	0	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_39	1009874	1010466	593	0	103	101.5	43	107	inf	100	100	100	100	82	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_40	1019579	1020140	562	0	64	63.2	35	65	inf	100	100	100	100	0	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_41	1034458	1035079	622	0	125	123.8	61	128	inf	100	100	100	100	99	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_42	1040128	1040683	556	0	155	152.5	54	158	inf	100	100	100	100	99.5	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_43	1042114	1042699	586	0	153	151.4	97	160	inf	100	100	100	100	99.8	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_44	1049123	1049683	561	0	93	91.5	46	96	inf	100	100	100	100	0	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_45	1050866	1051480	615	0	154	151.6	74	158	inf	100	100	100	100	99.3	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_46	1054544	1055117	574	0	183	180.1	96	189	inf	100	100	100	100	99.8	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_47	1057344	1057901	558	0	291	286.9	180	297	inf	100	100	100	100	100	97.5	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_1	1062025	1062596	572	0	104	102.8	34	108	inf	100	100	100	100	86	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_48	1072022	1072554	533	0	206	201.8	42	212	inf	100	100	100	100	99.2	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_49	1091737	1092304	568	0	11	11.2	5	12	inf	100	100	99.5	0	0	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_50	1103444	1104030	587	0	39	38.7	21	41	inf	100	100	100	100	0	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_51	1104604	1105170	567	0	154	152.5	62	159	inf	100	100	100	100	99.3	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_53	1128360	1128923	564	0	154	151	24	158	inf	100	100	100	100	98.9	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	all_54	1130248	1130843	596	0	83	82	42	86	inf	100	100	100	100	0	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	23S_scheme2_a1	235038	235591	554	187	108	70.6	0	113	inf	66.2	66.2	66.2	66.2	60.3	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	23S_scheme2_a2	283483	284036	554	187	86	56.1	0	89	inf	66.2	66.2	66.2	66.2	0	0	9738
TP_Discriminatory_SA1_20230426_barcode01.filt	23S_scheme1_a1	234889	235403	515	1	111	104.9	0	113	inf	99.8	99.8	99.8	99.6	88.5	0	9738
