accession	product_length	mismatch_forward	mismatch_reverse	forward_start	forward_stop	reverse_start	reverse_stop	product_start	product_stop	taxId	subspecies	superkingdom	phylum	class	order	family	genus	species	amplicon
CP078090.1	515	0	0	283173	283194	283687	283666	283173	283687	53436	Treponema pallidum subsp. endemicum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP078090.1	515	0	0	234772	234793	235286	235265	234772	235286	53436	Treponema pallidum subsp. endemicum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP095419.1	515	0	0	283297	283318	283811	283790	283297	283811	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP095419.1	515	0	0	234852	234873	235366	235345	234852	235366	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP095418.1	515	0	0	283357	283378	283871	283850	283357	283871	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP095418.1	515	0	0	234912	234933	235426	235405	234912	235426	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP095417.1	515	0	0	283359	283380	283873	283852	283359	283873	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP095417.1	515	0	0	234914	234935	235428	235407	234914	235428	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP095420.1	515	0	0	282159	282180	282673	282652	282159	282673	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP095420.1	515	0	0	233714	233735	234228	234207	233714	234228	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP095416.1	515	0	0	283295	283316	283809	283788	283295	283809	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP095416.1	515	0	0	234850	234871	235364	235343	234850	235364	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP095415.1	515	0	0	283297	283318	283811	283790	283297	283811	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
