sample	name	start	end	length	missing_sites	depth_median	depth_mean	depth_min	depth_max	cov_perc_1.0x	cov_perc_2.0x	cov_perc_8.0x	cov_perc_10.0x	cov_perc_25.0x	cov_perc_30.0x	cov_perc_40.0x	cov_perc_50.0x	cov_perc_100.0x
mz446b	locus_779846_780415	779846	780415	570	0	6.0	6.0	1	7	100.0	99.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446b	locus_887018_887608	887018	887608	591	0	10.0	8.5	2	11	100.0	100.0	77.0	59.2	0.0	0.0	0.0	0.0	0.0
mz446b	locus_415556_416118	415556	416118	563	82	1.0	0.9	0	1	85.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446b	locus_453934_454455	453934	454455	522	33	1.0	0.9	0	1	93.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446b	locus_460040_460587	460040	460587	548	2	12.0	11.4	0	13	99.6	99.6	90.3	84.1	0.0	0.0	0.0	0.0	0.0
mz446b	locus_489164_489714	489164	489714	551	0	7.0	6.9	2	8	100.0	100.0	49.5	0.0	0.0	0.0	0.0	0.0	0.0
mz446b	locus_500506_501029	500506	501029	524	0	2.0	1.7	1	2	100.0	73.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446b	locus_507770_508319	507770	508319	550	85	1.0	0.8	0	1	84.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446b	locus_513029_513562	513029	513562	534	534	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446b	locus_528510_529115	528510	529115	606	0	5.0	5.2	1	6	100.0	99.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446b	locus_547326_547881	547326	547881	556	0	3.0	2.7	1	3	100.0	99.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446b	locus_574423_574941	574423	574941	519	519	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446b	locus_582766_583314	582766	583314	549	5	3.0	2.5	0	3	99.1	90.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446b	locus_47737_48286	47737	48286	550	2	5.0	4.5	0	5	99.6	98.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446b	locus_619683_620217	619683	620217	535	0	3.0	2.7	1	3	100.0	99.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446b	locus_623085_623666	623085	623666	582	0	2.0	2.2	1	3	100.0	98.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446b	locus_656560_657095	656560	657095	536	2	3.0	2.7	0	3	99.6	93.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446b	locus_669846_670422	669846	670422	577	577	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446b	locus_670741_671255	670741	671255	515	2	4.0	3.4	0	4	99.6	91.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446b	locus_708212_708840	708212	708840	629	2	2.0	2.0	0	3	99.7	83.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446b	locus_60976_61551	60976	61551	576	0	6.0	5.7	2	6	100.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446b	locus_772599_773182	772599	773182	584	32	3.0	2.4	0	3	94.5	89.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446b	locus_6272_6851	6272	6851	580	580	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446b	locus_858336_858869	858336	858869	534	3	2.0	1.8	0	2	99.4	85.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446b	locus_873851_874387	873851	874387	537	0	4.0	3.9	2	4	100.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446b	locus_884017_884576	884017	884576	560	28	1.0	0.9	0	1	95.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446b	locus_890076_890675	890076	890675	600	600	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446b	locus_915022_915600	915022	915600	579	0	38.0	37.6	10	41	100.0	100.0	100.0	100.0	99.7	98.3	34.0	0.0	0.0
mz446b	locus_915797_916386	915797	916386	590	0	18.0	17.9	6	20	100.0	100.0	99.7	99.7	0.0	0.0	0.0	0.0	0.0
mz446b	locus_955414_955954	955414	955954	541	0	5.0	4.6	3	5	100.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446b	locus_1009874_1010467	1009874	1010467	594	0	10.0	9.3	3	11	100.0	100.0	87.5	54.9	0.0	0.0	0.0	0.0	0.0
mz446b	locus_1019579_1020141	1019579	1020141	563	1	1.0	1.0	0	1	99.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446b	locus_1034458_1035080	1034458	1035080	623	0	8.0	7.5	2	9	100.0	100.0	70.6	0.0	0.0	0.0	0.0	0.0	0.0
mz446b	locus_1040128_1040684	1040128	1040684	557	0	3.0	2.8	1	3	100.0	99.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446b	locus_1042114_1042700	1042114	1042700	587	29	2.0	1.5	0	2	95.1	58.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446b	locus_1049123_1049684	1049123	1049684	562	14	1.0	1.0	0	1	97.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446b	locus_1050866_1051481	1050866	1051481	616	0	12.0	10.9	3	12	100.0	100.0	90.1	88.8	0.0	0.0	0.0	0.0	0.0
mz446b	locus_1054544_1055118	1054544	1055118	575	0	9.0	8.8	3	10	100.0	100.0	90.4	30.4	0.0	0.0	0.0	0.0	0.0
mz446b	locus_1057344_1057902	1057344	1057902	559	0	66.0	63.7	21	71	100.0	100.0	100.0	100.0	99.8	99.6	99.6	88.0	0.0
mz446b	locus_1072022_1072555	1072022	1072555	534	2	5.0	4.4	0	5	99.6	97.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446b	locus_1104604_1105171	1104604	1105171	568	38	2.0	1.9	0	2	93.3	91.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446b	locus_6906_7492	6906	7492	587	37	1.0	0.9	0	1	93.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446b	locus_1128360_1128924	1128360	1128924	565	12	1.0	1.4	0	2	97.9	44.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446b	locus_1130248_1130844	1130248	1130844	597	0	3.0	2.7	1	3	100.0	99.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446b	locus_101570_102137	101570	102137	568	0	11.0	10.3	2	12	100.0	100.0	82.4	79.6	0.0	0.0	0.0	0.0	0.0
mz446b	locus_106712_107310	106712	107310	599	4	3.0	2.4	0	3	99.3	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446b	locus_19650_20166	19650	20166	517	0	5.0	4.3	1	5	100.0	99.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446b	locus_189605_190127	189605	190127	523	0	8.0	7.8	2	8	100.0	100.0	89.7	0.0	0.0	0.0	0.0	0.0	0.0
mz446b	locus_214607_215181	214607	215181	575	0	2.0	2.0	1	2	100.0	95.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446b	locus_20302_20892	20302	20892	591	591	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446b	locus_244634_245243	244634	245243	610	2	5.0	3.9	0	5	99.7	83.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446b	locus_253222_253808	253222	253808	587	0	13.0	11.0	2	13	100.0	100.0	80.4	68.7	0.0	0.0	0.0	0.0	0.0
mz446b	locus_254023_254581	254023	254581	559	1	5.0	4.3	0	5	99.8	98.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446b	locus_264813_265405	264813	265405	593	593	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446b	locus_311821_312450	311821	312450	630	0	6.0	5.4	2	6	100.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446b	locus_321507_322062	321507	322062	556	36	2.0	1.9	0	2	93.5	91.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0
