"Sample_Name","Sanger_Lane_ID_raw","Cleaned_fastq_id","SRR/ENA_Accession","Species","Sample_Year","Citation","Sequencing_Method","Sample_Type","Geo_Country","Continent","TPA_Lineage","Beale2021.TPA.sublineages","TPA.TPE.scheme","Reads_or_assemblies","Proportion-N_>5_mapping+masking_Nichols","Assembly_Length_(total)","Assembly_#_contigs","Assembly_N50","Assembly_ref-sites_%","CheckM-completeness","CheckM-contamination"
"Amoy","NZ_CP015162.1","NZ_CP015162.1","NZ_CP015162.1","TPA","2011","Tong_2017","Rabbit-culture+HiSeq","low rabbit passage","China","Asia","SS14","2","2","assemblies","3.8604100000000002E-2",1139223,1,1139223,99.9640235058128,"99.97","0"
"AR2","SRR3268682","SRR3268682.Treponema.ds2500000-reads","SRR3268682","TPA","2013","Arora_2016","Sequence_capture","clinical acquired","Argentina","S.America","SS14","1","1","reads","5.64599E-2",1127950,109,18724,98.9748454107594,"99.57","0.81"
"AU15","SRR3268722","SRR3268722.Treponema.ds2500000-reads","SRR3268722","TPA","2013","Arora_2016","Sequence_capture","clinical acquired","Austria","Europe","SS14","1","1","reads","3.7650200000000002E-2",1129001,18,150427,99.0670680824441,"99.19","0"
"AU16","SRR3268723","SRR3268723.Treponema.ds2077609-reads","SRR3268723","TPA","2013","Arora_2016","Sequence_capture","clinical acquired","Austria","Europe","SS14","1","1","reads","4.24345E-2",1126942,33,59736,98.8863958835871,"100","0"
"B3","SRR2996728","SRR2996728.Treponema.ds225397-reads","SRR2996728","TPA","2015","Sun_2016","unenriched_Illumina_HiSeq_2500","low rabbit passage","China","Asia","SS14","2","2","reads","3.68174E-2",1134766,22,170743,99.5729326897343,"100","0"
"BAL3","SRR3268715","SRR3268715.Treponema.ds810142-reads","SRR3268715","TPA","1973","Arora_2016","Sequence_capture","rabbit inoculation","USA","N.America","Nichols","9","9","reads","5.2761200000000001E-2",1126316,39,66890,98.8314659192916,"100","0"
"BAL73","SRR3268726","SRR3268726.Treponema.ds378720-reads","SRR3268726","TPA","1973","Arora_2016","Sequence_capture","rabbit inoculation","USA","N.America","Nichols","Singleton","Singleton","reads","8.9181099999999999E-2",1128470,140,15152,99.0204741350944,"100","2.06"
"BosniaA","NZ_CP007548.1","NZ_CP007548.1","NZ_CP007548.1","TEN","1950","Staudová_2014","-","rabbit inoculation","Bosnia","Europe","-",NA,NA,"assemblies","3.1883099999999998E-2",1137653,1,1137653,99.82625985734,"99.97","0"
"IraqB-mcf","15169_6#53","15169_6#53.Treponema.ds2352679-reads","ERR5210583","TEN","1951","unpublished-WSI","-","rabbit_passage","Iraq","Asia","-",NA,NA,"reads","3.0725800000000001E-2",1126461,19,222695,98.8441893135773,"99.97","0"
"C3","SRR2996729","SRR2996729.Treponema.ds1156472-reads","SRR2996729","TPA","2015","Sun_2016","unenriched_Illumina_HiSeq_2500","low rabbit passage","China","Asia","SS14","2","2","reads","3.61251E-2",1133010,14,598930,99.4188479975571,"100","0"
"CDC2","NC_016848.1","NC_016848.1","NC_016848.1","TPE","1980","Čejková_2012","-","rabbit inoculation","Ghana","Africa","-",NA,"TPE36","assemblies","7.0873900000000004E-2",1139744,1,1139744,100.009739977695,"99.97","0"
"Chicago_tube2","15169_6#54","15169_6#54.Treponema.ds2500000-reads","ERR2756161","TPA","1951","Beale_2019_Global_TPA","SureSelect","Nichols_rabbit_passage","USA","N.America","Nichols","12","12","reads","3.4779299999999999E-2",1123226,16,597853,98.5603259996859,"100","0"
"CP0465","19444_8#9","19444_8#9.Treponema.ds1440088-reads","ERR1470338","TPE","2013","Marks_2018","SureSelect","Clinical_Swab","Solomon_Islands","Oceania","-",NA,"TPE20","reads","3.1355800000000003E-2",1122652,23,81941,98.5099589078238,"99.97","0"
"CP0492","19444_8#15","19444_8#15.Treponema.ds1410649-reads","ERR1470344","TPE","2013","Marks_2018","SureSelect","Clinical_Swab","Solomon_Islands","Oceania","-",NA,"TPE20","reads","3.2314799999999998E-2",1122813,24,146746,98.5240862628583,"99.97","0"
"CP0495","19444_8#14","19444_8#14.Treponema.ds2033782-reads","ERR1470343","TPE","2013","Marks_2018","SureSelect","Clinical_Swab","Solomon_Islands","Oceania","-",NA,"TPE20","reads","3.2256E-2",1129120,18,172764,99.077510040513,"99.97","0"
"CW30","SRR8501163.not-sapiens","SRR8501163.ds2500000-reads","SRR8501163","TPA","2014","Grillová_2019","DpnI_enrichment,_Illumina_NextSeq","clinical acquired","Czech_Republic","Europe","SS14","1","1","reads","3.6989399999999999E-2",1129953,23,208961,99.1506037469957,"100","0"
"CW56","SRR8501162.not-sapiens","SRR8501162.ds2012532-reads","SRR8501162","TPA","2013","Grillová_2019","DpnI_enrichment,_Illumina_NextSeq","clinical acquired","Cuba","Caribbean","SS14","1","1","reads","3.7832699999999997E-2",1129028,25,86668,99.0694372662076,"100","0"
"CW59","SRR8501165.not-sapiens","SRR8501165.ds2500000-reads","SRR8501165","TPA","2012","Grillová_2019","DpnI_enrichment,_Illumina_NextSeq","clinical acquired","France","Europe","Nichols","8","8","reads","4.9331600000000003E-2",1192844,32,86665,104.669134712666,"100","5.65"
"CW65","SRR8501164.not-sapiens","SRR8501164.ds356365-reads","SRR8501164","TPA","2014","Grillová_2019","DpnI_enrichment,_Illumina_NextSeq","clinical acquired","Australia","Oceania","Nichols","16","16","reads","3.0725800000000001E-2",1125493,49,52395,98.7592496882768,"100","0"
"CW82","SRR8501167","SRR8501167.ds2500000-reads","SRR8501167","TPA","2016","Grillová_2019","DpnI_enrichment,_Illumina_NextSeq","clinical acquired","Cuba","Caribbean","Nichols","Singleton","Singleton","reads","3.8333800000000001E-2",1150880,42,124167,100.986896658837,"100","0.32"
"CW83","SRR8501166.not-sapiens","SRR8501166.ds2500000-reads","SRR8501166","TPA","2015","Grillová_2019","DpnI_enrichment,_Illumina_NextSeq","clinical acquired","Cuba","Caribbean","Nichols","17","17","reads","4.4798999999999999E-2",1144196,256,8729,100.400392056039,"99.17","7.99"
"CW84","SRR8501169.not-sapiens","SRR8501169.ds2038886-reads","SRR8501169","TPA","2015","Grillová_2019","DpnI_enrichment,_Illumina_NextSeq","clinical acquired","France","Europe","SS14","1","1","reads","6.6327300000000006E-2",1139652,24,160424,100.001667203389,"100","0.81"
"CW86","SRR8501171.not-sapiens","SRR8501171.ds2230553-reads","SRR8501171","TPA","2013","Grillová_2019","DpnI_enrichment,_Illumina_NextSeq","clinical acquired","France","Europe","Nichols","8","8","reads","9.0859700000000002E-2",1138819,124,15186,99.9285734969065,"99.6","0.09"
"CW87","SRR8501170.not-sapiens","SRR8501170.ds1033042-reads","SRR8501170","TPA","2016","Grillová_2019","DpnI_enrichment,_Illumina_NextSeq","clinical acquired","France","Europe","SS14","1","1","reads","6.3368800000000003E-2",1131644,48,55243,99.2989848486311,"99.97","0"
"CZ27","SRR3268685","SRR3268685.Treponema.ds2191278-reads","SRR3268685","TPA","2012","Arora_2016","Sequence_capture","clinical congenital","Czech_Republic","Europe","SS14","3","3","reads","3.71965E-2",1127369,27,77547,98.9238640860698,"100","0.81"
"DAL-1","NC_016844.1","NC_016844.1","NC_016844.1","TPA","-","Čejková_2012","454","rabbit inoculation","USA","N.America","Nichols","10","10","assemblies","3.7686200000000003E-2",1139971,1,1139971,100.029658670818,"100","0"
"Fribourg-Blanc","NC_021179.1","NC_021179.1","NC_021179.1","TPE","1966","Zobaníková_2013","-","rabbit inoculation","Guinea","Africa","-",NA,"TPE37","assemblies","3.1355800000000003E-2",1140481,1,1140481,100.074409919685,"99.97","0"
"Gambia-1","SRR4308597","SRR4308597.Treponema.ds2500000-reads","SRR4308597","TPE","2014","Knauf_2018","SureSelect","Face_lesion_biopsy","Gambia","Africa","-",NA,"TPE25","reads","3.2314799999999998E-2",1138922,15,598503,99.9376114942267,"99.97","0"
"Gambia-2","SRR4308605","SRR4308605.Treponema.ds2500000-reads","SRR4308605","TPE","2014","Knauf_2018","SureSelect","Face_lesion_biopsy","Gambia","Africa","-",NA,"TPE25","reads","3.2256E-2",1148366,27,598539,100.766299326187,"99.97","0"
"Gauthier","NC_016843.1","NC_016843.1","NC_016843.1","TPE","1960","Čejková_2012","-","rabbit inoculation","Congo","Africa","-",NA,"TPE33","assemblies","3.1895399999999997E-2",1139417,1,1139417,99.9810465298916,"99.97","0"
"IND1_Kampung_Dalan_K363","SRR3268698","SRR3268698.Treponema.ds2500000-reads","SRR3268698","TPE","1990","Arora_2016","Sequence_capture","rabbit inoculation","Indonesia","Asia","-",NA,"TPE29","reads","4.9331600000000003E-2",1124698,49,53362,98.6894903885725,"98.36","0"
"K3","SRR2996730","SRR2996730.Treponema.ds1809764-reads","SRR2996730","TPA","2015","Sun_2016","unenriched_Illumina_HiSeq_2500","low rabbit passage","China","Asia","SS14","2","2","reads","3.6111900000000002E-2",1133815,16,598872,99.4894847727295,"100","0"
