accession	product_length	mismatch_forward	mismatch_reverse	forward_start	forward_stop	reverse_start	reverse_stop	product_start	product_stop	taxId	subspecies	superkingdom	phylum	class	order	family	genus	species	amplicon	region.cluster
CP078090.1	622	0	0	6251	6272	6872	6851	6251	6872	53436	Treponema pallidum subsp. endemicum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP095419.1	622	0	0	6251	6272	6872	6851	6251	6872	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP095418.1	622	0	0	6251	6272	6872	6851	6251	6872	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP095417.1	622	0	0	6251	6272	6872	6851	6251	6872	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP095420.1	622	0	0	6251	6272	6872	6851	6251	6872	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP095416.1	622	0	0	6251	6272	6872	6851	6251	6872	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP095415.1	622	0	0	6251	6272	6872	6851	6251	6872	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073574.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073573.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073565.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073567.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073568.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073569.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073570.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073571.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073572.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073558.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073559.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073560.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073561.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073562.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073563.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073564.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073552.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073553.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073554.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073555.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073576.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073556.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073557.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073545.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073546.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073547.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073548.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073549.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073550.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073551.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073538.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073539.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073540.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073541.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073542.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073543.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073544.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073512.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073511.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073510.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073509.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073508.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073507.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073504.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073521.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073520.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073519.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073516.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073515.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073514.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
