sample	name	start	end	length	missing_sites	depth_median	depth_mean	depth_min	depth_max	cov_perc_1.0x	cov_perc_2.0x	cov_perc_8.0x	cov_perc_10.0x	cov_perc_25.0x	cov_perc_30.0x	cov_perc_40.0x	cov_perc_50.0x	cov_perc_100.0x
mz406	locus_779846_780415	779846	780415	570	0	128.0	121.9	44	133	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.6	88.9
mz406	locus_887018_887608	887018	887608	591	0	107.0	89.7	15	113	100.0	100.0	100.0	100.0	92.4	85.3	80.0	80.0	63.5
mz406	locus_415556_416118	415556	416118	563	0	97.0	89.5	12	102	100.0	100.0	100.0	100.0	99.6	99.6	99.3	94.0	33.6
mz406	locus_453934_454455	453934	454455	522	0	284.0	276.1	143	293	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
mz406	locus_460040_460587	460040	460587	548	0	333.0	304.1	55	339	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.6
mz406	locus_489164_489714	489164	489714	551	0	190.0	173.9	61	193	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	91.5
mz406	locus_500506_501029	500506	501029	524	0	227.0	213.9	56	233	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	97.7
mz406	locus_507770_508319	507770	508319	550	0	276.0	249.9	64	289	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	96.7
mz406	locus_513029_513562	513029	513562	534	0	157.0	152.8	84	161	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.6
mz406	locus_528510_529115	528510	529115	606	0	194.0	187.4	96	203	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.7
mz406	locus_547326_547881	547326	547881	556	0	269.0	262.9	86	276	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.6
mz406	locus_574423_574941	574423	574941	519	0	251.0	237.1	75	261	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.2
mz406	locus_582766_583314	582766	583314	549	0	388.0	366.8	161	399	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
mz406	locus_47737_48286	47737	48286	550	0	98.0	95.4	27	101	100.0	100.0	100.0	100.0	100.0	99.6	99.5	99.1	33.1
mz406	locus_619683_620217	619683	620217	535	0	181.0	177.4	83	188	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.6
mz406	locus_623085_623666	623085	623666	582	0	187.0	171.6	70	194	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	96.7
mz406	locus_656560_657095	656560	657095	536	0	158.0	149.8	43	165	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.6	98.7
mz406	locus_669846_670422	669846	670422	577	0	153.0	148.5	69	158	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.0
mz406	locus_670741_671255	670741	671255	515	0	138.0	134.3	47	141	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.6	97.3
mz406	locus_708212_708840	708212	708840	629	0	242.0	219.6	76	250	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.7
mz406	locus_60976_61551	60976	61551	576	0	28.0	27.4	8	30	100.0	100.0	100.0	99.7	89.6	31.2	0.0	0.0	0.0
mz406	locus_772599_773182	772599	773182	584	0	112.0	107.9	26	115	100.0	100.0	100.0	100.0	100.0	99.8	99.5	99.1	89.2
mz406	locus_6272_6851	6272	6851	580	0	117.0	103.1	16	124	100.0	100.0	100.0	100.0	99.7	99.7	98.3	97.2	64.3
mz406	locus_858336_858869	858336	858869	534	0	214.0	205.2	51	222	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.6
mz406	locus_873851_874387	873851	874387	537	0	153.0	151.0	58	157	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.6
mz406	locus_884017_884576	884017	884576	560	0	69.0	64.4	20	71	100.0	100.0	100.0	100.0	99.6	99.6	97.9	89.8	0.0
mz406	locus_890076_890675	890076	890675	600	0	171.0	147.1	41	176	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.7	79.0
mz406	locus_915022_915600	915022	915600	579	0	456.0	441.6	121	467	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
mz406	locus_915797_916386	915797	916386	590	0	288.0	274.7	62	294	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.7
mz406	locus_955414_955954	955414	955954	541	0	312.0	302.0	146	319	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
