sample	name	start	end	length	missing_sites	depth_median	depth_mean	depth_min	depth_max	cov_perc_1.0x	cov_perc_2.0x	cov_perc_8.0x	cov_perc_10.0x	cov_perc_25.0x	cov_perc_30.0x	cov_perc_40.0x	cov_perc_50.0x	cov_perc_100.0x
mz446c	locus_779846_780415	779846	780415	570	0	8.0	8.0	1	10	100.0	99.6	65.4	38.8	0.0	0.0	0.0	0.0	0.0
mz446c	locus_887018_887608	887018	887608	591	0	6.0	5.5	1	8	100.0	80.4	23.7	0.0	0.0	0.0	0.0	0.0	0.0
mz446c	locus_415556_416118	415556	416118	563	8	4.0	3.4	0	5	98.6	97.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446c	locus_453934_454455	453934	454455	522	2	2.0	1.7	0	2	99.6	71.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446c	locus_460040_460587	460040	460587	548	0	18.0	16.2	2	18	100.0	100.0	99.3	96.2	0.0	0.0	0.0	0.0	0.0
mz446c	locus_489164_489714	489164	489714	551	1	2.0	1.7	0	2	99.8	65.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446c	locus_500506_501029	500506	501029	524	10	3.0	2.8	0	3	98.1	98.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446c	locus_507770_508319	507770	508319	550	0	5.0	4.2	1	5	100.0	84.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446c	locus_513029_513562	513029	513562	534	37	2.0	1.7	0	2	93.1	80.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446c	locus_528510_529115	528510	529115	606	0	5.0	4.6	2	5	100.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446c	locus_547326_547881	547326	547881	556	0	6.0	5.5	2	6	100.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446c	locus_574423_574941	574423	574941	519	0	33.0	31.1	10	36	100.0	100.0	100.0	100.0	84.4	81.5	0.0	0.0	0.0
mz446c	locus_582766_583314	582766	583314	549	549	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446c	locus_47737_48286	47737	48286	550	0	4.0	3.3	1	4	100.0	94.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446c	locus_619683_620217	619683	620217	535	0	15.0	13.5	3	15	100.0	100.0	98.1	94.0	0.0	0.0	0.0	0.0	0.0
mz446c	locus_623085_623666	623085	623666	582	582	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446c	locus_656560_657095	656560	657095	536	0	16.0	15.9	3	18	100.0	100.0	99.6	99.6	0.0	0.0	0.0	0.0	0.0
mz446c	locus_669846_670422	669846	670422	577	6	2.0	1.7	0	2	99.0	67.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446c	locus_670741_671255	670741	671255	515	0	4.0	3.8	1	4	100.0	97.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446c	locus_708212_708840	708212	708840	629	0	7.0	6.7	1	8	100.0	99.7	22.6	0.0	0.0	0.0	0.0	0.0	0.0
mz446c	locus_60976_61551	60976	61551	576	3	3.0	2.8	0	3	99.5	96.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446c	locus_772599_773182	772599	773182	584	0	14.0	13.9	6	15	100.0	100.0	99.5	98.3	0.0	0.0	0.0	0.0	0.0
mz446c	locus_6272_6851	6272	6851	580	0	7.0	6.7	2	8	100.0	100.0	48.6	0.0	0.0	0.0	0.0	0.0	0.0
mz446c	locus_858336_858869	858336	858869	534	67	1.0	0.9	0	1	87.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446c	locus_873851_874387	873851	874387	537	2	2.0	2.0	0	2	99.6	97.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446c	locus_884017_884576	884017	884576	560	0	6.0	5.1	1	6	100.0	99.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446c	locus_890076_890675	890076	890675	600	2	7.0	5.8	0	7	99.7	99.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446c	locus_915022_915600	915022	915600	579	0	25.0	24.6	3	27	100.0	100.0	99.7	99.7	57.3	0.0	0.0	0.0	0.0
mz446c	locus_915797_916386	915797	916386	590	0	25.0	24.2	8	26	100.0	100.0	100.0	99.7	70.2	0.0	0.0	0.0	0.0
mz446c	locus_955414_955954	955414	955954	541	0	12.0	11.1	3	13	100.0	100.0	88.0	79.3	0.0	0.0	0.0	0.0	0.0
mz446c	locus_1009874_1010467	1009874	1010467	594	0	14.0	13.9	5	16	100.0	100.0	98.3	94.1	0.0	0.0	0.0	0.0	0.0
mz446c	locus_1019579_1020141	1019579	1020141	563	563	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446c	locus_1034458_1035080	1034458	1035080	623	2	2.0	1.8	0	2	99.7	83.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446c	locus_1040128_1040684	1040128	1040684	557	0	9.0	8.4	2	10	100.0	100.0	65.9	26.2	0.0	0.0	0.0	0.0	0.0
mz446c	locus_1042114_1042700	1042114	1042700	587	2	10.0	8.9	0	10	99.7	99.7	73.8	64.4	0.0	0.0	0.0	0.0	0.0
mz446c	locus_1049123_1049684	1049123	1049684	562	0	4.0	4.1	1	5	100.0	99.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446c	locus_1050866_1051481	1050866	1051481	616	0	10.0	9.8	1	12	100.0	99.4	89.0	64.1	0.0	0.0	0.0	0.0	0.0
mz446c	locus_1054544_1055118	1054544	1055118	575	0	33.0	31.1	11	36	100.0	100.0	100.0	100.0	88.9	75.0	0.0	0.0	0.0
mz446c	locus_1057344_1057902	1057344	1057902	559	0	54.0	52.7	19	59	100.0	100.0	100.0	100.0	99.6	99.6	96.4	79.4	0.0
mz446c	locus_1072022_1072555	1072022	1072555	534	0	7.0	6.0	1	7	100.0	98.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446c	locus_1104604_1105171	1104604	1105171	568	0	20.0	18.9	1	21	100.0	99.6	94.9	93.7	0.0	0.0	0.0	0.0	0.0
mz446c	locus_6906_7492	6906	7492	587	0	8.0	7.6	1	9	100.0	99.7	56.4	0.0	0.0	0.0	0.0	0.0	0.0
mz446c	locus_1128360_1128924	1128360	1128924	565	0	10.0	9.2	2	10	100.0	100.0	82.1	70.8	0.0	0.0	0.0	0.0	0.0
mz446c	locus_1130248_1130844	1130248	1130844	597	3	2.0	1.8	0	2	99.5	77.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446c	locus_101570_102137	101570	102137	568	0	11.0	9.1	1	11	100.0	99.6	83.1	57.9	0.0	0.0	0.0	0.0	0.0
mz446c	locus_106712_107310	106712	107310	599	0	3.0	2.9	1	3	100.0	99.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446c	locus_19650_20166	19650	20166	517	0	8.0	8.1	3	10	100.0	100.0	60.7	15.1	0.0	0.0	0.0	0.0	0.0
mz446c	locus_189605_190127	189605	190127	523	0	4.0	3.6	1	4	100.0	99.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446c	locus_214607_215181	214607	215181	575	0	3.0	2.8	1	3	100.0	99.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446c	locus_20302_20892	20302	20892	591	0	6.0	6.0	1	8	100.0	99.3	27.2	0.0	0.0	0.0	0.0	0.0	0.0
mz446c	locus_244634_245243	244634	245243	610	0	17.0	14.3	2	18	100.0	100.0	80.8	76.7	0.0	0.0	0.0	0.0	0.0
mz446c	locus_253222_253808	253222	253808	587	2	5.0	4.8	0	6	99.7	99.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446c	locus_254023_254581	254023	254581	559	0	3.0	2.8	1	3	100.0	99.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446c	locus_264813_265405	264813	265405	593	0	6.0	5.6	1	6	100.0	99.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446c	locus_311821_312450	311821	312450	630	0	13.0	11.1	4	13	100.0	100.0	79.8	78.9	0.0	0.0	0.0	0.0	0.0
mz446c	locus_321507_322062	321507	322062	556	0	4.0	4.3	1	5	100.0	99.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446c	locus_27662_28204	27662	28204	543	0	2.0	2.0	1	2	100.0	95.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mz446c	locus_372296_372862	372296	372862	567	0	32.0	30.5	19	34	100.0	100.0	100.0	100.0	79.4	78.0	0.0	0.0	0.0
mz446c	locus_234911_235381	234911	235381	471	0	28.0	27.5	20	30	100.0	100.0	100.0	100.0	94.3	18.3	0.0	0.0	0.0
