sample	name	start	end	length	missing_sites	depth_median	depth_mean	depth_min	depth_max	cov_perc_1.0x	cov_perc_2.0x	cov_perc_8.0x	cov_perc_10.0x	cov_perc_25.0x	cov_perc_30.0x	cov_perc_40.0x	cov_perc_50.0x	cov_perc_100.0x
mz454a	locus_779846_780415	779846	780415	570	0	67.0	62.3	14	70	100.0	100.0	100.0	100.0	99.6	99.6	95.6	85.8	0.0
mz454a	locus_887018_887608	887018	887608	591	0	72.0	60.6	10	76	100.0	100.0	100.0	100.0	80.0	80.0	78.2	77.7	0.0
mz454a	locus_415556_416118	415556	416118	563	0	49.0	46.2	7	52	100.0	100.0	99.6	99.6	92.0	91.7	90.9	34.3	0.0
mz454a	locus_453934_454455	453934	454455	522	0	178.0	173.5	98	183	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.6
mz454a	locus_460040_460587	460040	460587	548	0	206.0	187.9	36	211	100.0	100.0	100.0	100.0	100.0	100.0	99.6	99.6	96.7
mz454a	locus_489164_489714	489164	489714	551	0	108.0	98.4	31	113	100.0	100.0	100.0	100.0	100.0	100.0	98.7	86.9	73.9
mz454a	locus_500506_501029	500506	501029	524	0	160.0	148.8	36	162	100.0	100.0	100.0	100.0	100.0	100.0	99.6	97.9	89.7
mz454a	locus_507770_508319	507770	508319	550	0	161.0	145.3	30	168	100.0	100.0	100.0	100.0	100.0	100.0	99.6	99.5	85.6
mz454a	locus_513029_513562	513029	513562	534	0	124.0	121.5	72	127	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	96.4
mz454a	locus_528510_529115	528510	529115	606	0	113.0	107.9	53	118	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	79.4
mz454a	locus_547326_547881	547326	547881	556	0	128.0	125.9	44	133	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.6	99.1
mz454a	locus_574423_574941	574423	574941	519	0	170.0	157.9	48	174	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.8	90.0
mz454a	locus_582766_583314	582766	583314	549	0	302.0	284.5	126	310	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
mz454a	locus_47737_48286	47737	48286	550	0	43.0	40.7	12	44	100.0	100.0	100.0	100.0	98.0	96.0	77.8	0.0	0.0
mz454a	locus_619683_620217	619683	620217	535	0	102.0	99.1	43	108	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.6	59.8
mz454a	locus_623085_623666	623085	623666	582	0	122.0	116.1	57	130	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	83.8
mz454a	locus_656560_657095	656560	657095	536	0	73.0	68.6	21	76	100.0	100.0	100.0	100.0	99.6	99.6	98.1	97.0	0.0
mz454a	locus_669846_670422	669846	670422	577	0	90.0	87.3	44	92	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.7	0.0
mz454a	locus_670741_671255	670741	671255	515	0	78.0	74.8	17	82	100.0	100.0	100.0	100.0	99.6	99.6	99.6	97.3	0.0
mz454a	locus_708212_708840	708212	708840	629	0	158.0	146.2	72	164	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	98.4
mz454a	locus_60976_61551	60976	61551	576	0	18.0	16.6	4	18	100.0	100.0	99.7	99.7	0.0	0.0	0.0	0.0	0.0
mz454a	locus_772599_773182	772599	773182	584	0	45.0	44.5	11	47	100.0	100.0	100.0	100.0	98.6	98.5	94.3	0.0	0.0
mz454a	locus_6272_6851	6272	6851	580	0	83.0	74.0	17	86	100.0	100.0	100.0	100.0	99.7	99.7	98.1	95.9	0.0
mz454a	locus_858336_858869	858336	858869	534	0	87.0	83.9	11	92	100.0	100.0	100.0	100.0	99.6	99.6	99.6	98.9	0.0
mz454a	locus_873851_874387	873851	874387	537	0	55.0	54.2	22	56	100.0	100.0	100.0	100.0	99.6	99.6	99.4	97.0	0.0
mz454a	locus_884017_884576	884017	884576	560	0	29.0	27.0	14	30	100.0	100.0	100.0	100.0	73.0	12.5	0.0	0.0	0.0
mz454a	locus_890076_890675	890076	890675	600	0	99.0	84.3	19	102	100.0	100.0	100.0	100.0	99.7	99.2	79.0	79.0	43.2
mz454a	locus_915022_915600	915022	915600	579	0	295.0	286.2	68	300	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.7
mz454a	locus_915797_916386	915797	916386	590	0	174.0	166.7	25	177	100.0	100.0	100.0	100.0	100.0	99.7	99.7	99.7	99.2
mz454a	locus_955414_955954	955414	955954	541	0	179.0	174.7	82	188	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.6
mz454a	locus_1009874_1010467	1009874	1010467	594	0	62.0	59.9	28	66	100.0	100.0	100.0	100.0	100.0	99.7	98.7	92.8	0.0
mz454a	locus_1019579_1020141	1019579	1020141	563	0	18.0	16.7	5	18	100.0	100.0	98.6	91.8	0.0	0.0	0.0	0.0	0.0
mz454a	locus_1034458_1035080	1034458	1035080	623	0	109.0	99.8	24	113	100.0	100.0	100.0	100.0	99.7	99.7	99.7	99.5	71.1
mz454a	locus_1040128_1040684	1040128	1040684	557	0	52.0	48.6	16	55	100.0	100.0	100.0	100.0	99.5	98.9	81.3	70.4	0.0
mz454a	locus_1042114_1042700	1042114	1042700	587	0	152.0	148.3	61	162	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	97.6
mz454a	locus_1049123_1049684	1049123	1049684	562	0	56.0	54.4	12	58	100.0	100.0	100.0	100.0	99.6	99.6	97.0	88.1	0.0
mz454a	locus_1050866_1051481	1050866	1051481	616	0	164.0	153.5	54	169	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	90.1
mz454a	locus_1054544_1055118	1054544	1055118	575	0	189.0	177.6	58	197	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.7
mz454a	locus_1057344_1057902	1057344	1057902	559	0	462.0	439.9	122	471	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
mz454a	locus_1072022_1072555	1072022	1072555	534	0	146.0	139.9	50	150	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	96.1
mz454a	locus_1104604_1105171	1104604	1105171	568	0	154.0	144.0	24	159	100.0	100.0	100.0	100.0	99.6	99.6	99.6	99.6	87.1
